,,,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019
,,,Jan-Jun,Jul-Dec,Jan-Jun,Jul-Dec,Jan-Jun,Jul-Dec,Jan-Jun,Jul-Dec,Jan-Jun,Jul-Dec,Jan-Jun,Jul-Dec,Jan-Jun,Jul-Dec,Jan-Jun,Jul-Dec,Jan-Jun,Jul-Dec,Jan-Jun,Jul-Dec
,,,,,,,,,,,,,,,,,,,,
NY Warehouses,Buffalo,Mobile,26,12,10,23,18,10,10,26,16,18,20,21,20,26,29,20,11,21,25,16
NY Warehouses,Buffalo,TV,19,22,27,19,27,12,24,28,27,28,10,16,25,26,20,25,10,27,20,20
NY Warehouses,Buffalo,AC,16,24,20,23,29,15,10,20,16,16,25,21,19,12,21,19,11,28,19,19
NY Warehouses,Ithaca,Mobile,10,28,27,22,18,14,22,12,14,16,21,13,27,17,15,19,21,15,29,14
NY Warehouses,Ithaca,TV,13,13,11,15,12,15,27,17,10,25,20,27,17,16,13,23,15,26,15,28
NY Warehouses,Ithaca,AC,18,17,19,28,28,14,21,18,25,17,18,27,23,24,22,12,11,12,19,22
NY Warehouses,Beacon,Mobile,10,17,24,27,25,11,22,26,10,13,25,13,29,23,28,22,22,26,20,18
NY Warehouses,Beacon,TV,12,22,26,26,15,28,15,26,12,18,17,10,21,19,24,23,26,19,19,13
NY Warehouses,Beacon,AC,13,11,23,13,20,26,10,12,14,10,28,26,21,26,29,12,29,18,20,24
CA Warehouses,San Francisco,Mobile,15,25,18,16,13,13,19,15,21,23,11,26,27,16,16,18,29,22,25,20
CA Warehouses,San Francisco,TV,28,16,15,29,28,27,27,14,12,20,13,27,18,11,17,24,10,29,19,14
CA Warehouses,San Francisco,AC,10,14,10,16,17,20,28,25,27,11,19,18,22,13,16,13,21,16,15,23
CA Warehouses,Los Angeles,Mobile,29,15,14,28,29,27,18,27,16,29,10,15,20,17,11,14,25,11,29,19
CA Warehouses,Los Angeles,TV,23,14,18,21,10,15,11,19,25,11,12,11,23,20,22,21,21,17,15,10
CA Warehouses,Los Angeles,AC,27,24,20,21,20,29,18,29,15,17,27,25,12,23,23,14,29,25,25,16
CA Warehouses,San Diego,Mobile,14,27,24,16,23,20,11,23,29,16,18,14,15,16,24,13,15,24,12,13
CA Warehouses,San Diego,TV,19,24,17,17,11,12,22,21,18,29,22,19,13,28,18,29,10,19,22,17
CA Warehouses,San Diego,AC,11,22,10,29,24,24,24,11,18,27,29,10,16,28,12,19,10,15,20,15
TX Warehouses,Houston,Mobile,27,17,16,18,21,21,15,16,23,25,11,22,28,20,22,26,10,18,22,27
TX Warehouses,Houston,TV,11,18,22,21,26,18,18,12,15,26,22,11,18,29,28,24,22,24,25,17
TX Warehouses,Houston,AC,12,25,18,12,26,23,21,12,22,29,25,15,21,26,21,26,28,23,29,19
TX Warehouses,Arlington,Mobile,29,10,12,13,13,25,10,19,10,16,12,15,13,15,27,18,21,27,15,29
TX Warehouses,Arlington,TV,15,20,22,25,23,20,23,21,13,26,28,28,21,16,22,21,14,12,16,20
TX Warehouses,Arlington,AC,21,18,13,22,16,18,21,22,22,11,28,13,17,10,29,15,15,22,19,11
TX Warehouses,Austin,Mobile,17,11,29,25,20,26,19,20,21,17,26,20,10,10,13,27,23,29,12,24
TX Warehouses,Austin,TV,27,11,14,11,23,22,27,10,28,29,14,13,17,18,10,16,25,24,23,21
TX Warehouses,Austin,AC,15,28,28,11,11,12,15,25,29,16,20,16,20,14,14,13,26,27,21,16
